Fieldname	numMovies	Example Content
StreamOrder	5371	0
ID	5373	1
UniqueID	4830	1
Format	5373	AVC
Format_Profile	5360	High
Format_Level	5360	4.1
Format_Settings_CABAC	4871	Yes
Format_Settings_RefFrames	4871	4
CodecID	5371	V_MPEG4/ISO/AVC
Duration	5371	4764.348
BitRate	5304	7230000
Width	5373	1920
Height	5373	1040
Sampled_Width	5371	1920
Sampled_Height	5371	1040
PixelAspectRatio	5373	1.000
DisplayAspectRatio	5373	1.846
FrameRate_Mode	4887	CFR
FrameRate	5372	23.976
FrameCount	5371	114230
ColorSpace	5371	YUV
ChromaSubsampling	5371	4:2:0
BitDepth	5371	8
ScanType	5325	Progressive
Delay	5314	0.000
StreamSize	5303	4176072749
Title	1139	7 Mbps AVC MPEG-4
Encoded_Library	5062	x264 - core 96 r1613M 81e75e9
Encoded_Library_Name	5057	x264
Encoded_Library_Version	5048	core 96 r1613M 81e75e9
Encoded_Library_Settings	4599	cabac=1 / ref=4 / deblock=1:-1:-1 / analyse=0x3:0x113 / me=umh / subme=9 / psy=1 / fade_compensate=0.00 / psy_rd=1.30:0.00 / mixed_ref=1 / me_range=24 / chroma_me=1 / trellis=2 / 8x8dct=1 / cqm=0 / deadzone=21,11 / fast_pskip=1 / chroma_qp_offset=-2 / threads=6 / sliced_threads=0 / nr=0 / decimate=1 / interlaced=0 / constrained_intra=0 / bframes=5 / b_pyramid=2 / b_adapt=2 / b_bias=0 / direct=3 / weightb=1 / weightp=2 / keyint=250 / keyint_min=25 / scenecut=40 / intra_refresh=0 / rc_lookahead=80 / rc=2pass / mbtree=1 / bitrate=7230 / ratetol=1.0 / qcomp=0.80 / qpmin=10 / qpmax=51 / qpstep=4 / cplxblur=20.0 / qblur=0.5 / ip_ratio=1.40 / aq=1:0.70
Language	2271	de
Default	4830	No
Forced	4830	No
MuxingMode	132	Header stripping
FrameRate_Mode_Original	90	VFR
Stored_Height	2410	816
colour_description_present	470	Yes
colour_description_present_Source	470	Stream
colour_range	475	Limited
colour_range_Source	475	Stream
colour_primaries_Source	469	Stream
transfer_characteristics_Source	469	Stream
matrix_coefficients	469	BT.709
matrix_coefficients_Source	469	Stream
BitRate_Maximum	309	9146920
Rotation	57	0.000
Encoded_Date	36	UTC 2014-10-21 23:43:39
Tagged_Date	36	UTC 2014-10-21 23:43:48
colour_primaries	423	BT.709
extra	120	avcC
Format_Tier	44	Main
Stored_Width	85	1920
transfer_characteristics	420	BT.709
BitRate_Mode	369	VBR
BufferSize	378	11600000
FrameRate_Original	175	29.970
Format_Settings_BVOP	452	2
Format_Settings_QPel	449	No
Format_Settings_GMC	449	0
Format_Settings_Matrix	452	Default (H.263)
Compression_Mode	457	Lossy
Encoded_Library_Date	327	UTC 2008-12-04
BitRate_Nominal	100	6951200
Format_Settings_Matrix_Data	27	081010141014171717171B181B181B1E1D1C1C1D1E201F1E1D1E1F2022222323232322222626272727262628282A2A28282C2D2E2D2C323636323B3E3B484854 / 1113131515151717171719191919191B1B1B1B1B1B1D1C1D1E1D1C1D1F1D1E1F1F1E1D1F2120222622202125282E2E28252D363A362D3C48483C4A5A4A64647C
FrameRate_Minimum	12	1.501
FrameRate_Maximum	12	24.000
Format_Settings_GOP	54	M=1, N=3
ScanOrder	19	BFF
Standard	43	NTSC
Source_Duration	7	303.076
Source_StreamSize	7	1298742853
MenuID	34	1
OriginalSourceMedium_ID	8	4113
MultiView_Count	2	2
MultiView_Layout	2	Side by Side (left eye first)
DisplayAspectRatio_Original	30	2.348
PixelAspectRatio_Original	24	1.091
Format_Settings_PictureStructure	1	Frame
Height_Original	2	1088
Format_Version	5	2
Height_Offset	1	0
Delay_Original	1	0.000
TimeCode_FirstFrame	1	00:00:00;00
TimeCode_Source	1	Group of pictures header
Gop_OpenClosed	1	Open
Gop_OpenClosed_FirstFrame	1	Closed
ScanType_Original	1	Progressive